station,pollutant,missing,total_row,percentage_missing
Borehamwood Meadow Park,NO,586,24286,2.412912789261303
Borehamwood Meadow Park,NO2,586,24286,2.412912789261303
Borehamwood Meadow Park,NOx,583,24249,2.404222854550703
Borehamwood Meadow Park,PM10,817,24270,3.3662958384837247
Borehamwood Meadow Park,PM2.5,726,24308,2.986671054796775
Camden Kerbside,NO,419,24279,1.7257712426376703
Camden Kerbside,NO2,419,24279,1.7257712426376703
Camden Kerbside,NOx,387,24242,1.5964029370513986
Camden Kerbside,PM10,91,2355,3.8641188959660298
Camden Kerbside,PM2.5,94,2355,3.991507430997877
Ealing Horn Lane,PM10,226,2355,9.596602972399152
Haringey Roadside,NO,3708,24287,15.267427018569604
Haringey Roadside,NO2,3708,24285,15.268684373069796
Haringey Roadside,NOx,3725,24250,15.360824742268042
London Bexley,NO,1675,24295,6.894422720724429
London Bexley,NO2,1680,24296,6.91471847217649
London Bexley,NOx,1590,24258,6.554538708879545
London Bexley,PM10,4012,24273,16.52865323610596
London Bexley,PM2.5,154,2356,6.536502546689304
London Bloomsbury,NO,749,24345,3.0766071061819678
London Bloomsbury,NO2,748,24345,3.072499486547546
London Bloomsbury,NOx,734,24252,3.0265545109681673
London Bloomsbury,O3,997,24342,4.095801495357818
London Bloomsbury,PM10,2566,47652,5.384873667422144
London Bloomsbury,PM2.5,1658,47652,3.4793922605556955
London Bloomsbury,SO2,2002,24340,8.225143796220213
London Eltham,"1,2,3-TMB",254,4403,5.768794004088122
London Eltham,"1,2,4-TMB",258,4403,5.859641153758801
London Eltham,"1,3,5-TMB",276,4403,6.268453327276857
London Eltham,"1,3-Butadiene",221,4365,5.063001145475372
London Eltham,1-Butene,224,4396,5.095541401273886
London Eltham,1-Pentene,225,4396,5.1182893539581436
London Eltham,Benzene,255,4403,5.7915057915057915
London Eltham,Ethane,225,4396,5.1182893539581436
London Eltham,Ethene,222,4396,5.050045495905368
London Eltham,Ethylbenzene,255,4403,5.7915057915057915
London Eltham,Ethyne,225,4396,5.1182893539581436
London Eltham,Isoprene,225,4396,5.1182893539581436
London Eltham,NO,13182,16835,78.3011583011583
London Eltham,NO2,13187,16840,78.30760095011875
London Eltham,NOx,13125,16793,78.15756565235515
London Eltham,O3,12537,16842,74.43890274314214
London Eltham,PM10,16337,16826,97.09378343040532
London Eltham,PM2.5,263,2356,11.162988115449915
London Eltham,Propane,226,4396,5.141037306642402
London Eltham,Propene,224,4396,5.095541401273886
London Eltham,Toluene,251,4403,5.700658641835112
London Eltham,cis-2-Butene,225,4396,5.1182893539581436
London Eltham,i-Butane,224,4396,5.095541401273886
London Eltham,i-Hexane,228,4396,5.18653321201092
London Eltham,i-Octane,282,4403,6.404724051782876
London Eltham,i-Pentane,224,4396,5.095541401273886
London Eltham,"m,p-Xylene",264,4403,5.9959118782648195
London Eltham,n-Butane,224,4396,5.095541401273886
London Eltham,n-Heptane,298,4403,6.768112650465592
London Eltham,n-Hexane,225,4396,5.1182893539581436
London Eltham,n-Octane,326,4403,7.404042698160346
London Eltham,n-Pentane,224,4396,5.095541401273886
London Eltham,o-Xylene,255,4403,5.7915057915057915
London Eltham,trans-2-Butene,224,4396,5.095541401273886
London Eltham,trans-2-Pentene,228,4396,5.18653321201092
London Haringey Priory Park South,NO,1121,24284,4.616208202931971
London Haringey Priory Park South,NO2,1122,24288,4.619565217391304
London Haringey Priory Park South,NOx,1120,24246,4.619318650499051
London Haringey Priory Park South,O3,8171,24288,33.64212779973649
London Harlington,NO,133,23683,0.5615842587510028
London Harlington,NO2,104,23683,0.43913355571506985
London Harlington,NOx,74,23684,0.31244722175308226
London Harlington,O3,214,21989,0.9732138796671062
London Harlington,PM10,25,24154,0.10350252546162127
London Harlington,PM2.5,25,24154,0.10350252546162127
London Hillingdon,NO,270,24346,1.1090117473096195
London Hillingdon,NO2,271,24346,1.1131191982255813
London Hillingdon,NOx,218,24241,0.8993028340415
London Hillingdon,O3,211,24346,0.8666721432678879
London Hillingdon,PM10,520,24346,2.135874476300008
London Hillingdon,PM2.5,525,24346,2.156411730879816
London Honor Oak Park,O3,214,9919,2.1574755519709647
London Honor Oak Park,PM10,260,24261,1.0716788260995012
London Honor Oak Park,PM2.5,266,24298,1.094740307844267
London Marylebone Road,"1,2,3-TMB",1306,22246,5.870718331385418
London Marylebone Road,"1,2,4-TMB",1352,22246,6.077497078126404
London Marylebone Road,"1,3,5-TMB",1365,22246,6.135934550031466
London Marylebone Road,"1,3-Butadiene",1099,22203,4.949781561050308
London Marylebone Road,1-Butene,1083,22203,4.877719227131469
London Marylebone Road,1-Pentene,1156,22176,5.212842712842713
London Marylebone Road,Benzene,1331,22246,5.983098085048997
London Marylebone Road,CO,2729,24293,11.233688716914338
London Marylebone Road,Ethane,1090,22203,4.909246498220962
London Marylebone Road,Ethene,1090,22222,4.905049050490505
London Marylebone Road,Ethylbenzene,1337,22246,6.010069225928256
London Marylebone Road,Ethyne,1103,22133,4.983508787782949
London Marylebone Road,Isoprene,1116,22222,5.022050220502205
London Marylebone Road,NO,2207,24289,9.086417719955534
London Marylebone Road,NO2,2211,24292,9.101761896920797
London Marylebone Road,NOx,2072,24253,8.543272997154991
London Marylebone Road,O3,2385,24289,9.819259747210673
London Marylebone Road,PM10,632,2355,26.83651804670913
London Marylebone Road,PM2.5,479,2355,20.339702760084926
London Marylebone Road,Propane,1090,22222,4.905049050490505
London Marylebone Road,Propene,1088,22222,4.896048960489605
London Marylebone Road,SO2,2987,24290,12.2972416632359
London Marylebone Road,Toluene,1389,22246,6.243819113548503
London Marylebone Road,cis-2-Butene,1153,22203,5.192991938026393
London Marylebone Road,i-Butane,1084,22203,4.882223123001396
London Marylebone Road,i-Hexane,1093,22203,4.922758185830744
London Marylebone Road,i-Octane,1342,22246,6.032545176660973
London Marylebone Road,i-Pentane,1082,22222,4.869048690486904
London Marylebone Road,"m,p-Xylene",1348,21100,6.388625592417061
London Marylebone Road,n-Butane,1083,22203,4.877719227131469
London Marylebone Road,n-Heptane,1324,22246,5.951631754023195
London Marylebone Road,n-Hexane,1095,22184,4.935989902632528
London Marylebone Road,n-Octane,1438,22246,6.46408343072912
London Marylebone Road,n-Pentane,1082,22222,4.869048690486904
London Marylebone Road,o-Xylene,1313,22246,5.90218466241122
London Marylebone Road,trans-2-Butene,1097,22203,4.940773769310454
London Marylebone Road,trans-2-Pentene,1138,22203,5.12543349997748
London N. Kensington,CO,349,24285,1.437101091208565
London N. Kensington,NO,336,24277,1.3840260328706182
London N. Kensington,NO2,335,24280,1.3797364085667216
London N. Kensington,NOx,329,24239,1.3573167209868393
London N. Kensington,O3,1006,24275,4.144181256436664
London N. Kensington,PM10,245,2355,10.40339702760085
London N. Kensington,PM2.5,214,2355,9.087048832271762
London N. Kensington,SO2,2192,24298,9.021318627047494
London Norbury Manor School,PM10,936,5258,17.801445416508177
London Norbury Manor School,PM2.5,936,5258,17.801445416508177
London Teddington Bushy Park,PM10,10525,24327,43.26468532905825
London Teddington Bushy Park,PM2.5,20820,48656,42.790200591910555
London Westminster,NO,282,24346,1.1583011583011582
London Westminster,NO2,279,24346,1.1459788055532736
London Westminster,NOx,271,24242,1.1178945631548551
London Westminster,O3,1449,24043,6.02670215863245
London Westminster,PM2.5,3463,24299,14.251615292810405
Southwark A2 Old Kent Road,NO,566,24280,2.331136738056013
Southwark A2 Old Kent Road,NO2,567,24280,2.335255354200988
Southwark A2 Old Kent Road,NOx,542,24243,2.2356969021985726
Southwark A2 Old Kent Road,PM10,388,2355,16.475583864118896
Tower Hamlets Roadside,NO,210,18229,1.1520105326677272
Tower Hamlets Roadside,NO2,212,18226,1.1631734884231317
Tower Hamlets Roadside,NOx,194,18195,1.0662269854355593
