pollutant,count,percentage
PM10,15,10.42
PM2.5,15,10.42
NO2,14,9.72
NOx,14,9.72
NO,14,9.72
O3,9,6.25
SO2,3,2.08
n-Pentane,2,1.39
"m,p-Xylene",2,1.39
n-Butane,2,1.39
n-Heptane,2,1.39
n-Hexane,2,1.39
n-Octane,2,1.39
Propene,2,1.39
o-Xylene,2,1.39
Propane,2,1.39
i-Pentane,2,1.39
Toluene,2,1.39
trans-2-Butene,2,1.39
trans-2-Pentene,2,1.39
Isoprene,2,1.39
Ethyne,2,1.39
i-Octane,2,1.39
i-Hexane,2,1.39
i-Butane,2,1.39
Ethylbenzene,2,1.39
Ethene,2,1.39
Ethane,2,1.39
cis-2-Butene,2,1.39
Benzene,2,1.39
1-Pentene,2,1.39
1-Butene,2,1.39
"1,3-Butadiene",2,1.39
"1,3,5-TMB",2,1.39
"1,2,4-TMB",2,1.39
"1,2,3-TMB",2,1.39
CO,2,1.39
