metric,value
total_files,4932
total_records,3446208
total_missing,443658
overall_completeness_pct,87.13
unique_sites,78
total_site_species_combinations,173
unique_species,6
unique_locations,76
expected_site_species_pairs,170
collected_site_species_pairs,141
missing_site_species_pairs_count,53
extra_site_species_pairs_count,24
total_nan_replacements,0
mean_invalid_pct,0.00
max_invalid_pct,0.00
files_2023,1689
records_2023,1192464
missing_2023,155312
replacements_2023,0
files_2024,1692
records_2024,1197936
missing_2024,142335
replacements_2024,0
files_2025,1551
records_2025,1055808
missing_2025,146011
replacements_2025,0
