SiteCode,SpeciesCode,missing,total_row,percentage_missing
BG1,NO2,6391,24456,26.132646385345108
BG1,SO2,8373,24456,34.23699705593719
BG2,NO2,6064,24456,24.795551193981026
BG2,PM10,5021,24456,20.530749100425254
BQ7,NO2,2446,24456,10.001635590448151
BQ7,O3,1083,24456,4.428361138370952
BQ7,PM10,2866,24456,11.719005561007524
BQ7,PM2.5,2866,24456,11.719005561007524
BQ9,PM10,1241,24456,5.074419365390906
BQ9,PM2.5,1501,24456,6.137553156689565
BT4,NO2,1869,24456,7.642296368989205
BT4,PM10,390,24456,1.5947006869479883
BT4,PM2.5,250,24456,1.0222440300948643
BT5,NO2,97,24456,0.3966306836768073
BT5,PM10,1150,24456,4.702322538436376
BT5,PM2.5,6783,24456,27.735525024533857
BT6,NO2,240,24456,0.9813542688910697
BT6,PM10,639,24456,2.612855740922473
BT6,PM2.5,6621,24456,27.073110893032386
BT8,NO2,466,24456,1.9054628720968267
BT8,PM10,281,24456,1.1490022898266274
BT8,PM2.5,5580,24456,22.81648675171737
BX1,NO2,2766,24456,11.310107948969577
BX1,O3,773,24456,3.1607785410533205
BX1,SO2,2308,24456,9.437356885835786
BX2,NO2,1160,24456,4.74321229964017
BX2,PM10,563,24456,2.3020935557736344
BX2,PM2.5,563,24456,2.3020935557736344
BY7,NO2,1973,24456,8.067549885508669
BY7,PM10,2478,24456,10.132482826300295
BY7,PM2.5,1967,24456,8.043016028786392
CD1,NO2,6984,24456,28.55740922473013
CD1,PM10,7711,24456,31.530094864245996
CD1,PM2.5,7339,24456,30.008995747464834
CE2,NO2,3171,24456,12.966143277723258
CE2,O3,5847,24456,23.908243375858685
CE2,PM10,1550,24456,6.337912986588158
CE2,PM2.5,2194,24456,8.971213608112528
CE3,NO2,11394,24456,46.589793915603536
CE3,PM10,7652,24456,31.288845273143608
CE3,PM2.5,7652,24456,31.288845273143608
CR5,NO2,1355,24456,5.540562643114164
CR7,NO2,4624,24456,18.90742558063461
CR8,PM2.5,7207,24456,29.469250899574746
CW3,NO2,1076,24456,4.399738305528296
CW3,PM10,3283,24456,13.424108603205756
CW3,PM2.5,3283,24456,13.424108603205756
EA6,NO2,1067,24456,4.362937520444881
EA6,PM10,4038,24456,16.511285574092245
EA8,NO2,1046,24456,4.277069021916912
EA8,PM10,1271,24456,5.19708864900229
EI1,NO2,541,24456,2.212136081125286
EI1,PM10,3767,24456,15.403173045469416
EI8,PM10,4002,24456,16.364082433758586
EN1,NO2,138,24456,0.5642787046123651
EN4,NO2,812,24456,3.3202486097481194
EN5,NO2,87,24456,0.35574092247301276
EN7,NO2,1897,24456,7.75678770035983
GB0,PM2.5,6456,24456,26.39842983316977
GB6,NO2,2985,23760,12.563131313131311
GB6,O3,5148,23760,21.666666666666668
GB6,PM10,4214,23760,17.735690235690235
GN0,NO2,496,24456,2.0281321557082106
GN0,PM10,1581,24456,6.464671246319921
GN0,PM2.5,7099,24456,29.027641478573763
GN3,NO2,998,24456,4.080798168138698
GN3,O3,3317,24456,13.56313379129866
GN3,PM10,742,24456,3.034020281321557
GN3,PM2.5,2136,24456,8.73405299313052
GN4,NO2,985,24456,4.0276414785737655
GN4,PM10,900,24456,3.680078508341511
GN5,NO2,3521,24456,14.397284919856068
GN5,PM10,1745,24456,7.135263330062153
GN6,NO2,732,24456,2.9931305201177625
GN6,PM10,1911,24456,7.814033366045142
GN6,PM2.5,7240,24456,29.60418711154727
GR7,NO2,971,24456,3.9703958128884524
GR7,PM10,798,24456,3.2630029440628068
GR8,NO2,5077,24456,20.759731763166503
GR8,PM10,4726,24456,19.324501144913313
GR9,NO2,723,24456,2.9563297350343474
GR9,PM10,1161,24456,4.74730127576055
GR9,PM2.5,2001,24456,8.182041216879293
HG1,NO2,3481,24456,14.23372587504089
HG4,NO2,1255,24456,5.131665031076219
HG4,O3,7092,24456,28.999018645731113
HP1,NO2,540,24456,2.2080471050049066
HP1,O3,576,24456,2.355250245338567
HP1,PM10,123,24456,0.5029440628066731
HP1,PM2.5,122,24456,0.4988550866862938
HV1,NO2,406,24456,1.6601243048740597
HV3,NO2,1333,24456,5.450605168465817
HV3,PM10,1838,24456,7.515538109257442
IS2,NO2,1468,24456,6.002616944717043
IS2,PM10,2006,24456,8.20248609748119
IS6,NO2,616,24456,2.5188092901537456
IS6,PM10,1351,24456,5.524206738632646
KC1,CO,456,24456,1.8645731108930326
KC1,NO2,462,24456,1.8891069676153092
KC1,O3,986,24456,4.031730454694145
KC1,PM2.5,5441,24456,22.248119070984625
KC1,SO2,2079,24456,8.500981354268891
LB4,NO2,1009,24456,4.125776905462872
LB4,PM10,3368,24456,13.77167157343801
LB4,PM2.5,3382,24456,13.828917239123323
LB6,NO2,2877,24456,11.763984298331698
LB6,PM10,1866,24456,7.630029440628067
ME9,NO2,233,24456,0.9527314360484134
MY1,CO,4036,24456,16.503107621851488
MY1,NO2,2856,24456,11.678115799803729
MY1,O3,6634,24456,27.12626758259732
MY1,SO2,3043,24456,12.442754334314687
RI1,NO2,630,24456,2.5760549558390577
RI1,PM10,982,24456,4.015374550212627
RI2,NO2,5812,24456,23.7651292116454
RI2,O3,9732,24456,39.793915603532874
RI2,PM10,5447,24456,22.2726529277069
SK5,NO2,730,24456,2.9849525678770035
SK5,PM10,6432,24456,26.300294406280667
TH2,NO2,2082,24456,8.513248282630029
TH4,NO2,5599,24456,22.894177298004582
TH4,O3,5868,24456,23.994111874386654
TH4,PM10,7457,24456,30.49149492966961
TH4,PM2.5,8042,24456,32.883545960091595
TL4,NO2,9869,24456,40.35410533202486
TL5,NO2,4761,24456,19.467615309126597
TL6,NO2,3520,24456,14.39319594373569
TL6,PM2.5,4585,24456,18.74795551193981
WA7,NO2,9236,24456,37.76578344782466
WA7,PM10,3007,24456,12.295551193981028
WA9,PM10,2522,24456,10.31239777559699
WAA,NO2,7697,24456,31.47284919856068
WAA,PM10,5486,24456,22.432122996401702
WAB,NO2,3786,24456,15.480863591756625
WAB,PM10,1574,24456,6.436048413477264
WAC,PM10,2252,24456,9.208374223094538
WM5,NO2,3702,24456,15.137389597644749
WM6,NO2,604,24456,2.4697415767091924
WM6,PM10,15357,24456,62.794406280667324
WMD,NO2,87,24456,0.35574092247301276
WMD,PM2.5,445,24456,1.8195943735688582
